id,name,category,n_dlcs,n_expansions,year,follows,in_franchise,genres,companies,platforms,user_score,user_rating,n_user_reviews
1020,Grand Theft Auto V,main_game,0,0,2013,1766,True,"Shooter, Adventure","Rockstar North, Rockstar Games, Take-Two Interactive","PC (Microsoft Windows), PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PlayStation 5, Xbox Series X|S",90.20238827699148,great,3369
1942,The Witcher 3: Wild Hunt,main_game,4,2,2015,1516,True,"Role-playing (RPG), Adventure","WB Games, Bandai Namco Entertainment, cdp.pl, Spike ChunSoft, CD Projekt RED, D3T Limited","PC (Microsoft Windows), PlayStation 4, Xbox One, Nintendo Switch",95.169576546467,great,2997
472,The Elder Scrolls V: Skyrim,main_game,3,0,2011,1046,False,"Role-playing (RPG), Adventure","Bethesda Game Studios, Bethesda Softworks","PC (Microsoft Windows), PlayStation 3, Xbox 360",87.5085044529892,great,2567
72,Portal 2,main_game,3,0,2011,963,True,"Shooter, Platform, Puzzle, Adventure","Valve Corporation, Electronic Arts","Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac",91.6507048080326,great,2544
71,Portal,main_game,0,0,2007,894,True,"Shooter, Platform, Puzzle","Valve Corporation, EA","Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac, Android",86.9317582856285,great,2297
732,Grand Theft Auto: San Andreas,main_game,0,0,2004,984,True,"Shooter, Racing, Adventure","Rockstar Games, Rockstar North, Take-Two Interactive","PC (Microsoft Windows), PlayStation 2, PlayStation 3, Xbox, Xbox 360, Mac, Android, iOS, PlayStation 4",90.1779661972838,great,2265
1009,The Last of Us,main_game,0,1,2013,842,True,"Shooter, Adventure","Naughty Dog, Sony Computer Entertainment, Inc. (SCEI)",PlayStation 3,93.4897661104002,great,2179
233,Half-Life 2,main_game,0,0,2004,896,True,Shooter,"Sierra Entertainment, Valve Corporation, NVIDIA Lightspeed Studios","Linux, PC (Microsoft Windows), PlayStation 3, Xbox, Xbox 360, Mac, Android",90.62343340259687,great,2076
20,BioShock,main_game,1,0,2007,719,False,"Shooter, Role-playing (RPG), Adventure","Digital Extremes, 2K Games, Feral Interactive, 2K Marin, 2K China, 2K Boston, Demiurge Studios, 2K Australia","PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac, iOS",87.2904275297637,great,2004
127,Assassin's Creed II,main_game,2,0,2009,772,True,"Platform, Adventure","Ubisoft Montreal, Ubisoft Entertainment","PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac, iOS",87.0961176850968,great,1927
538,Bioshock Infinite,main_game,2,0,2013,657,False,"Shooter, Adventure","Irrational Games, 2K Games, Virtual Programming, Human Head Studios","Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac, PlayStation 4, Xbox One, Nintendo Switch",85.9390513015442,great,1864
74,Mass Effect 2,main_game,7,0,2010,793,False,"Shooter, Role-playing (RPG), Simulator, Adventure","BioWare, Electronic Arts, BioWare Edmonton, BioWare Montreal","PC (Microsoft Windows), PlayStation 3, Xbox 360",91.4728286927319,great,1836
733,Grand Theft Auto: Vice City,main_game,0,0,2002,770,True,"Shooter, Racing, Adventure","Rockstar Games, Take-Two Interactive, Rockstar North, Rockstar Vienna","PC (Microsoft Windows), PlayStation 2, Xbox, Mac, Android, iOS, PlayStation 4",87.604580118384,great,1825
500,Batman: Arkham Asylum,main_game,5,0,2009,683,True,"Hack and slash/Beat 'em up, Adventure","Eidos Interactive, Playcast-media, Rocksteady Studios, Warner Bros. Interactive Entertainment","PC (Microsoft Windows), PlayStation 3, Xbox 360, Ouya",86.3944837851677,great,1824
231,Half-Life,main_game,0,0,1998,790,True,"Shooter, Puzzle, Adventure","Sierra Entertainment, Gearbox Software, Valve Corporation","Linux, PC (Microsoft Windows), PlayStation 2, Mac",89.2300673394984,great,1783
73,Mass Effect,main_game,2,0,2007,709,False,"Shooter, Role-playing (RPG)","BioWare, Microsoft Game Studios, Electronic Arts, Demiurge Studios, Edge of Reality, BioWare Edmonton","PC (Microsoft Windows), PlayStation 3, Xbox 360",86.4697565300543,great,1738
501,Batman: Arkham City,main_game,6,1,2011,611,True,"Hack and slash/Beat 'em up, Adventure","Rocksteady Studios, WB Games, DC Entertainment","PC (Microsoft Windows), PlayStation 3, Xbox 360, OnLive Game System",87.40518113545701,great,1642
1164,Tomb Raider,main_game,2,0,2013,651,True,"Shooter, Platform, Puzzle, Adventure","Square Enix, Crystal Dynamics, Feral Interactive, Nixxes Software","Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac",82.5068026627738,great,1637
7346,The Legend of Zelda: Breath of the Wild,main_game,2,0,2017,691,True,"Role-playing (RPG), Adventure",Nintendo,"Wii U, Nintendo Switch",92.1003666846239,great,1535
7331,Uncharted 4: A Thief's End,main_game,0,0,2016,630,True,"Shooter, Adventure","Naughty Dog, Sony Interactive Entertainment",PlayStation 4,91.6192188264272,great,1511
434,Red Dead Redemption,main_game,4,0,2010,611,True,"Shooter, Role-playing (RPG), Adventure","Rockstar Games, Rockstar North, Rockstar San Diego, Take-Two Interactive","PlayStation 3, Xbox 360",89.4165305001774,great,1505
565,Uncharted 2: Among Thieves,main_game,0,0,2009,554,True,"Shooter, Platform, Adventure","Naughty Dog, Sony Computer Entertainment, Inc. (SCEI)",PlayStation 3,89.5064402542281,great,1481
